ID;name;logo;description;
1;HTML5;HTML5.png;Logo HTML5;
2;CSS3;CSS3.png;Logo CSS3;
3;Javascript;Javascript.png;Logo Javascript;
4;PHP;PHP.png;Logo PHP;
5;Java;Java.png;Logo Java;
6;Angular;Angular.png;Logo Angular;
7;C Sharp;CSharp.png;Logo C Sharp;
